device_ip,device_instance,vendorName,network_number,location,modelName,object_instance,objectName,description,presentValue,units,object_type,outOfService
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,2749,BAScontrol22S,,,no-units,device,
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,1,Universal Input 1,Universal Input 1,0.0062003969214856625,volts,analog-input,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,2,Universal Input 2,Universal Input 2,0.0031001984607428312,volts,analog-input,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,3,Universal Input 3,Universal Input 3,0.002477700589224696,volts,analog-input,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,4,Universal Input 4,Universal Input 4,0.0030848963651806116,volts,analog-input,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,5,Universal Input 5,Universal Input 5,0.0018619662150740623,volts,analog-input,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,6,Universal Input 6,Universal Input 6,0.0037128711119294167,volts,analog-input,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,7,Universal Input 7,Universal Input 7,0.002477700589224696,volts,analog-input,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,8,Universal Input 8,Universal Input 8,0.0012400794075801969,volts,analog-input,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,9,Binary Input 1,Binary Input 1,inactive,no-units,binary-input,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,10,Binary Input 2,Binary Input 2,inactive,no-units,binary-input,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,11,Binary Input 3,Binary Input 3,inactive,no-units,binary-input,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,12,Binary Input 4,Binary Input 4,inactive,no-units,binary-input,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,13,Analog Output 1,Analog Output 1,0.0,volts,analog-output,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,14,Analog Output 2,Analog Output 2,0.0,volts,analog-output,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,15,Analog Output 3,Analog Output 3,0.0,volts,analog-output,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,16,Analog Output 4,Analog Output 4,0.0,volts,analog-output,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,17,Binary Output 1,Binary Output 1,1065353216,no-units,binary-output,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,18,Binary Output 2,Binary Output 2,inactive,no-units,binary-output,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,19,Binary Output 3,Binary Output 3,1065353216,no-units,binary-output,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,20,Binary Output 4,Binary Output 4,inactive,no-units,binary-output,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,21,Binary Output 5,Binary Output 5,inactive,no-units,binary-output,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,22,Binary Output 6,Binary Output 6,inactive,no-units,binary-output,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,201,Virtual Point 1,Virtual Point 1,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,202,Virtual Point 2,Virtual Point 2,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,203,Virtual Point 3,Virtual Point 3,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,204,Virtual Point 4,Virtual Point 4,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,205,Virtual Point 5,Virtual Point 5,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,206,Virtual Point 6,Virtual Point 6,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,207,Virtual Point 7,Virtual Point 7,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,208,Virtual Point 8,Virtual Point 8,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,209,Virtual Point 9,Virtual Point 9,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,210,Virtual Point 10,Virtual Point 10,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,211,Virtual Point 11,Virtual Point 11,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,212,Virtual Point 12,Virtual Point 12,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,213,Virtual Point 13,Virtual Point 13,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,214,Virtual Point 14,Virtual Point 14,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,215,Virtual Point 15,Virtual Point 15,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,216,Virtual Point 16,Virtual Point 16,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,217,Virtual Point 17,Virtual Point 17,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,218,Virtual Point 18,Virtual Point 18,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,219,Virtual Point 19,Virtual Point 19,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,220,Virtual Point 20,Virtual Point 20,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,221,Virtual Point 21,Virtual Point 21,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,222,Virtual Point 22,Virtual Point 22,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,223,Virtual Point 23,Virtual Point 23,0.0,no-units,analog-value,0
192.168.0.56,2749,"Contemporary Control Systems, Inc.",{1},,BAScontrol,224,Virtual Point 24,Virtual Point 24,0.0,no-units,analog-value,0
192.168.0.78,777,"Contemporary Control Systems, Inc.",{1},testing,BASRT-B,777,BASRT-B030d3d,BACnet/IP to MS/TP Router,,no-units,device,
